heatwave,adapted_temp,group_id,sex,replicate,weight
0,30,10,m,3,0.00146
0,30,10,m,4,0.0015
0,30,10,m,5,0.0011
0,35,1,f,1,0.0014
0,35,1,f,2,0.00154
0,35,1,f,3,0.00172
0,35,1,f,4,0.00117
0,35,1,f,5,0.00146
0,35,1,m,1,0.00123
0,35,1,m,2,0.00101
0,35,1,m,3,0.00099
0,35,1,m,4,0.00118
0,35,1,m,5,0.00117
0,35,2,f,1,0.00159
0,35,2,f,2,0.00146
0,35,2,f,3,0.00124
0,35,2,f,4,0.00125
0,35,2,f,5,0.0014
0,35,2,m,1,0.00099
0,35,2,m,2,0.00122
0,35,2,m,3,0.00118
0,35,2,m,4,0.00124
0,35,2,m,5,0.00132
0,35,3,f,1,0.00133
0,35,3,f,2,0.00124
0,35,3,f,3,0.00149
0,35,3,f,4,0.0014
0,35,3,f,5,0.00132
0,35,3,m,1,0.0014
0,35,3,m,2,0.00118
0,35,3,m,3,0.00126
0,35,3,m,4,0.00114
0,35,3,m,5,0.00121
0,35,4,f,1,0.00127
0,35,4,f,2,0.00137
0,35,4,f,3,0.00129
0,35,4,f,4,0.00133
0,35,4,f,5,0.00129
0,35,4,m,1,0.00126
0,35,4,m,2,0.00107
0,35,4,m,3,0.0015
0,35,4,m,4,0.00123
0,35,4,m,5,0.00143
0,35,5,f,1,0.0014
0,35,5,f,2,0.00114
0,35,5,f,3,0.00162
0,35,5,f,4,0.0012
0,35,5,f,5,0.0013
0,35,5,m,1,0.00121
0,35,5,m,2,0.00107
0,35,5,m,3,0.00109
0,35,5,m,4,0.00141
0,35,5,m,5,0.00118
0,35,6,f,1,0.00132
0,35,6,f,2,0.00132
0,35,6,f,3,0.00137
0,35,6,f,4,0.00109
0,35,6,f,5,0.00134
0,35,6,m,1,0.00116
0,35,6,m,2,0.00137
0,35,6,m,3,0.00108
0,35,6,m,4,0.00122
0,35,6,m,5,0.00119
0,35,7,f,1,0.00101
0,35,7,f,2,0.00134
0,35,7,f,3,0.00139
0,35,7,f,4,0.0011
0,35,7,f,5,0.00129
0,35,7,m,1,0.00124
0,35,7,m,2,0.00122
0,35,7,m,3,0.00134
0,35,7,m,4,0.00123
0,35,7,m,5,0.00113
0,35,8,f,1,0.00133
0,35,8,f,2,0.00124
0,35,8,f,3,0.00124
0,35,8,f,4,0.00141
0,35,8,f,5,0.00141
0,35,8,m,1,0.00133
0,35,8,m,2,0.00133
0,35,8,m,3,0.00138
0,35,8,m,4,0.00104
0,35,8,m,5,0.00115
0,35,9,f,1,0.00111
0,35,9,f,2,0.00149
0,35,9,f,3,0.00102
0,35,9,f,4,0.00134
0,35,9,f,5,0.00109
0,35,9,m,1,0.00112
0,35,9,m,2,0.00108
0,35,9,m,3,0.00101
0,35,9,m,4,0.00105
0,35,9,m,5,0.00119
0,35,10,f,1,0.0016
0,35,10,f,2,0.00126
0,35,10,f,3,0.0014
0,35,10,f,4,0.00139
0,35,10,f,5,0.00151
0,35,10,m,1,0.00112
0,35,10,m,2,0.00119
0,35,10,m,3,0.00112
0,35,10,m,4,0.00109
0,35,10,m,5,0.00122
1,25,1,f,1,NA
1,25,1,f,2,NA
1,25,1,f,3,NA
1,25,1,f,4,NA
1,25,1,f,5,NA
1,25,1,m,1,0.00132
1,25,1,m,2,0.0012
1,25,1,m,3,0.0014
1,25,1,m,4,NA
1,25,1,m,5,NA
1,25,2,f,1,0.00098
1,25,2,f,2,0.00132
1,25,2,f,3,0.00138
1,25,2,f,4,0.00108
1,25,2,f,5,0.00105
1,25,2,m,1,0.00112
1,25,2,m,2,0.00108
1,25,2,m,3,0.0012
1,25,2,m,4,0.00114
1,25,2,m,5,0.00133
1,25,3,f,1,NA
1,25,3,f,2,NA
1,25,3,f,3,NA
1,25,3,f,4,NA
1,25,3,f,5,NA
1,25,3,m,1,0.00164
1,25,3,m,2,0.00154
1,25,3,m,3,0.00158
1,25,3,m,4,0.00138
1,25,3,m,5,0.00144
1,25,4,f,1,0.00145
1,25,4,f,2,0.00099
1,25,4,f,3,0.0012
1,25,4,f,4,0.00161
1,25,4,f,5,0.00116
1,25,4,m,1,0.00112
1,25,4,m,2,0.00114
